city,mayor_name,CO2_per_cap,plus_minus,conservatism,supports_paris,mayor_political_party
Columbus,Andrew Ginther,19.8,8.5,-0.26,True,D
Baltimore,Bernard Young,20.2,9.1,-0.66,True,D
New York,Bill de Blasio,17.1,5.5,-0.66,True,D
Buffalo,Byron Brown,19.8,10.0,-0.66,True,D
Las Vegas,Carolyn Goodman,12.3,4.8,-0.03,False,I
Sacramento,Darrell Steinberg,14.2,4.9,-0.33,True,D
El Paso,Dee Margo,14.6,8.5,-0.07,False,R
Tulsa,Dewey F. Bartlett Jr.,22.6,10.3,0.07,False,R
Los Angeles,Eric Garcetti,14.6,3.2,-0.49,True,D
Dallas,Eric Johnson,16.5,3.4,-0.23,True,D
Miami,Francis Suarez,16.0,4.4,-0.43,True,R
Cleveland,Frank Jackson,24.7,9.0,-0.42,True,D
Louisville,Greg Fischer,21.5,8.6,-0.1,True,D
Minneapolis,Jacob Frey,21.8,6.4,-0.77,True,D
Tampa,Jane Castor,15.3,6.3,-0.16,True,D
Omaha,Jean Stothert,19.9,8.8,0.08,False,R
Wichita,Jeff Longwell,21.3,11.1,-0.03,False,R
Seattle,Jenny Durkan,17.3,5.6,-0.87,True,D
Philadelphia,Jim Kenney,19.5,5.4,-0.52,True,D
Memphis,Jim Strickland,20.8,9.5,-0.33,True,D
Corpus Christi,Joe McComb,16.6,10.2,-0.01,False,R
Nashville,John Cooper,17.6,9.6,-0.02,True,D
Cincinnati,John Cranley,22.6,8.9,-0.22,True,D
Colorado Springs,John Suthers,17.8,9.9,0.23,False,R
Indianapolis,Joseph Hogsett,20.6,5.7,-0.12,True,D
Phoenix,Kate Gallego,15.9,4.6,-0.04,True,D
Atlanta,Keisha Bottoms,18.7,5.0,-0.48,True,D
San Diego,Kevin Faulconer,14.5,4.4,-0.36,True,R
New Orleans,LaToya Cantrell,26.1,13.0,-0.51,True,D
Fresno,Lee Brand,13.3,5.5,0.0,False,R
Jacksonville,Lenny Curry,17.0,6.3,0.18,False,R
Oakland,Libby Schaaf,19.3,10.6,-0.87,True,D
Chicago,Lori Lightfoot,21.1,5.1,-0.63,True,D
St. Louis,Lyda Krewson,24.1,8.2,-0.52,True,D
Boston,Martin J Walsh,19.0,8.4,-0.81,True,D
Denver,Michael Hancock,19.4,6.1,-0.48,True,D
Oklahoma City,Mick Cornett,20.8,8.9,0.26,False,R
Detroit,Mike Duggan,25.5,5.6,-0.73,True,D
Washington D.C.,Muriel Bowser,19.0,4.5,-0.93,True,D
Raleigh,Nancy McFarlane,14.7,7.1,-0.29,True,I
Kansas City,Quinton Lucas,22.6,7.4,-0.38,True,D
Tucson,Regina Romero,17.1,7.6,-0.23,True,D
San Antonio,Ron Nirenberg,15.2,4.9,-0.01,True,I
San Jose,Sam Liccardo,17.5,4.9,-0.32,True,D
Austin,Steve Adler,15.0,5.1,-0.53,True,D
Houston,Sylvester Turner,14.6,4.0,-0.17,True,D
Portland,Ted Wheeler,16.7,8.0,-0.59,True,D
Albuquerque,Tim Keller,17.0,9.0,-0.23,True,D
Milwaukee,Tom Barrett,20.4,8.9,-0.26,True,D
Charlotte,Vi Lyles,14.5,7.5,-0.17,True,D
Toledo,Wade Kapszukiewicz,22.8,13.5,-0.17,True,D
Pittsburgh,William Peduto,24.0,10.4,-0.49,True,D
