city,mayor_name,CO2_per_cap,plus_minus,conservatism,supports_paris,mayor_political_party
Columbus,Andrew Ginther,19.8,8.5,-0.26,True,
Baltimore,Bernard Young,20.2,9.1,-0.66,True,
New York,Bill de Blasio,17.1,5.5,-0.66,True,
Buffalo,Byron Brown,19.8,10.0,-0.66,True,
Las Vegas,Carolyn Goodman,12.3,4.8,-0.03,False,
Sacramento,Darrell Steinberg,14.2,4.9,-0.33,True,
El Paso,Dee Margo,14.6,8.5,-0.07,False,
Tulsa,Dewey F. Bartlett Jr.,22.6,10.3,0.07,False,
Los Angeles,Eric Garcetti,14.6,3.2,-0.49,True,
Dallas,Eric Johnson,16.5,3.4,-0.23,True,
Miami,Francis Suarez,16.0,4.4,-0.43,True,
Cleveland,Frank Jackson,24.7,9.0,-0.42,True,
Louisville,Greg Fischer,21.5,8.6,-0.1,True,
Minneapolis,Jacob Frey,21.8,6.4,-0.77,True,
Tampa,Jane Castor,15.3,6.3,-0.16,True,
Omaha,Jean Stothert,19.9,8.8,0.08,False,
Wichita,Jeff Longwell,21.3,11.1,-0.03,False,
Seattle,Jenny Durkan,17.3,5.6,-0.87,True,
Philadelphia,Jim Kenney,19.5,5.4,-0.52,True,
Memphis,Jim Strickland,20.8,9.5,-0.33,True,
Corpus Christi,Joe McComb,16.6,10.2,-0.01,False,
Nashville,John Cooper,17.6,9.6,-0.02,True,
Cincinnati,John Cranley,22.6,8.9,-0.22,True,
Colorado Springs,John Suthers,17.8,9.9,0.23,False,
Indianapolis,Joseph Hogsett,20.6,5.7,-0.12,True,
Phoenix,Kate Gallego,15.9,4.6,-0.04,True,
Atlanta,Keisha Bottoms,18.7,5.0,-0.48,True,
San Diego,Kevin Faulconer,14.5,4.4,-0.36,True,
New Orleans,LaToya Cantrell,26.1,13.0,-0.51,True,
Fresno,Lee Brand,13.3,5.5,0.0,False,
Jacksonville,Lenny Curry,17.0,6.3,0.18,False,
Oakland,Libby Schaaf,19.3,10.6,-0.87,True,
Chicago,Lori Lightfoot,21.1,5.1,-0.63,True,
St. Louis,Lyda Krewson,24.1,8.2,-0.52,True,
Boston,Martin J Walsh,19.0,8.4,-0.81,True,
Denver,Michael Hancock,19.4,6.1,-0.48,True,
Oklahoma City,Mick Cornett,20.8,8.9,0.26,False,
Detroit,Mike Duggan,25.5,5.6,-0.73,True,
Washington D.C.,Muriel Bowser,19.0,4.5,-0.93,True,
Raleigh,Nancy McFarlane,14.7,7.1,-0.29,True,
Kansas City,Quinton Lucas,22.6,7.4,-0.38,True,
Tucson,Regina Romero,17.1,7.6,-0.23,True,
San Antonio,Ron Nirenberg,15.2,4.9,-0.01,True,
San Jose,Sam Liccardo,17.5,4.9,-0.32,True,
Austin,Steve Adler,15.0,5.1,-0.53,True,
Houston,Sylvester Turner,14.6,4.0,-0.17,True,
Portland,Ted Wheeler,16.7,8.0,-0.59,True,
Albuquerque,Tim Keller,17.0,9.0,-0.23,True,
Milwaukee,Tom Barrett,20.4,8.9,-0.26,True,
Charlotte,Vi Lyles,14.5,7.5,-0.17,True,
Toledo,Wade Kapszukiewicz,22.8,13.5,-0.17,True,
Pittsburgh,William Peduto,24.0,10.4,-0.49,True,
