Urban Cluster	Country	Population	Footprint (Mt CO2)	1StdDev	Footprint/Cap (t CO2/cap)	ClusterID	Global ranking
Hong Kong SAR	China	6029000		3.780000e+01	34.6 &plusmn;6.3	13847	1
Mohammed Bin Zayed City	UAE	188000		5.300000e+00	32.9 &plusmn;27.9	5292	2
Abu Dhabi	UAE	911000		1.560000e+01	32.9 &plusmn;17.1	5288	3
Country of Singapore	Singapore	5235000		3.410000e+01	30.8 &plusmn;6.5	13845	4
Hulun Buir	China	198000		6.400000e+00	30.0 &plusmn;32.3	10441	5
Al-Ahmadi	Kuwait	2697000		1.930000e+01	29.9 &plusmn;7.2	5121	6
Doha	Qatar	1128000		1.150000e+01	28.7 &plusmn;10.2	5243	7
Hinggan	China	242000		7.100000e+00	28.6 &plusmn;29.3	10884	8
Chifeng	China	677000		11	28.0 &plusmn;16.2	11095	9
Al-Jahrah	Kuwait	178000		3.300000e+00	27.2 &plusmn;18.4	5116	10
Litong	China	270000		6.600000e+00	26.3 &plusmn;24.4	10433	11
New Orleans	USA	596000		7.800000e+00	26.1 &plusmn;13.0	373	12
Detroit	USA	2770000		1.540000e+01	25.5 &plusmn;5.6	16079	13
Tongliao	China	561000		9.900000e+00	25.5 &plusmn;17.7	11341	14
Yinchuan	China	1338000		1.720000e+01	25.3 &plusmn;12.8	10409	15
Al Ain	UAE	738000		9.900000e+00	25.1 &plusmn;13.4	24228	16
Cleveland	USA	973000		8.800000e+00	24.7 &plusmn;9.0	726	17
Ulanqab	China	275000		6.400000e+00	24.5 &plusmn;23.1	10624	18
St. Louis	USA	1177000		9.600000e+00	24.1 &plusmn;8.2	448	19
Dalad	China	171000		4.700000e+00	24.0 &plusmn;27.4	10489	20
Pittsburgh	USA	602000		6.300000e+00	24.0 &plusmn;10.4	753	21
Toledo	USA	257000		3.500000e+00	22.8 &plusmn;13.5	696	22
Kansas City	USA	1004000		7.400000e+00	22.6 &plusmn;7.4	386	23
Gold Coast	Australia	342000		3.300000e+00	22.6 &plusmn;9.7	13816	24
Grand Rapids	USA	315000		3.700000e+00	22.6 &plusmn;11.7	671	25
Cincinnati	USA	521000		4.600000e+00	22.6 &plusmn;8.9	632	26
Tulsa	USA	386000		4	22.6 &plusmn;10.3	359	27
Akron	USA	209000		2.600000e+00	22.6 &plusmn;12.6	727	28
Dubai	UAE	4971000		31	22.3 &plusmn;6.2	5297	29
Huhot	China	1796000		1.820000e+01	22.0 &plusmn;10.1	10542	30
Dayton	USA	278000		3.400000e+00	21.8 &plusmn;12.1	649	31
Minneapolis	USA	1518000		9.800000e+00	21.8 &plusmn;6.4	522	32
Fort Wayne	USA	153000		2.100000e+00	21.5 &plusmn;13.7	654	33
Louisville	USA	575000		4.900000e+00	21.5 &plusmn;8.6	578	34
Moline/Davenport	USA	168000		2	21.3 &plusmn;12.2	505	35
Wichita	USA	267000		3	21.3 &plusmn;11.1	358	36
Burnsville, MN	USA	152000		2	21.2 &plusmn;12.9	521	37
Des Moines	USA	172000		2.600000e+00	21.1 &plusmn;15.1	440	38
Chicago	USA	7260000		3.720000e+01	21.1 &plusmn;5.1	587	39
Rockford, IL	USA	174000		2.300000e+00	21.0 &plusmn;13.0	580	40
St. Petersburg	USA	798000		6.600000e+00	21.0 &plusmn;8.3	462	41
Oklahoma City	USA	530000		4.700000e+00	20.8 &plusmn;8.9	336	42
Memphis	USA	266000		2.500000e+00	20.8 &plusmn;9.5	418	43
Riyadh	Saudi Arabia	5747000		2.640000e+01	20.7 &plusmn;4.6	5119	44
Indianapolis	USA	938000		5.300000e+00	20.6 &plusmn;5.7	604	45
Naples, FL	USA	200000		2.500000e+00	20.5 &plusmn;12.4	471	46
Milwaukee	USA	821000		7.300000e+00	20.4 &plusmn;8.9	628	47
Richmond	USA	280000		3.100000e+00	20.3 &plusmn;10.9	760	48
Baltimore	USA	1254000		1.140000e+01	20.2 &plusmn;9.1	803	49
Dongsheng	China	448000		8.700000e+00	20.1 &plusmn;19.5	10510	50
Omaha	USA	484000		4.200000e+00	19.9 &plusmn;8.8	392	51
Newcastle	Australia	209000		2.100000e+00	19.9 &plusmn;9.8	13794	52
Ad Damman	Saudi Arabia	1611000		1.080000e+01	19.8 &plusmn;6.7	5205	53
Columbus	USA	1003000		8.500000e+00	19.8 &plusmn;8.5	675	54
Sarasota	USA	434000		3.900000e+00	19.8 &plusmn;9.0	461	55
Buffalo	USA	570000		5.700000e+00	19.8 &plusmn;10.0	16274	56
Philadelphia	USA	3591000		1.950000e+01	19.5 &plusmn;5.4	826	57
Denver	USA	1824000		1.110000e+01	19.4 &plusmn;6.1	272	58
