state,CO2_per_capita,partisanship,governor,governor_party,climate_alliance
Alabama,23.2,27.0,Kay Ivey,Republican ,
Alaska,47.6,15.0,Mike Dunleavy,Republican ,
Arizona,13.1,9.0,Doug Ducey,Republican ,
Arkansas,23.6,24.0,Asa Hutchinson,Republican ,
California,9.0,-24.0,Gavin Newsom,Democratic ,
Colorado,15.9,-1.0,Jared Polis,Democratic ,
Connecticut,10.5,-11.0,Ned Lamont,Democratic ,
Delaware,13.8,-14.0,John C. Carney Jr.,Democratic ,
Florida,11.4,5.0,Ron DeSantis,Republican ,
Georgia,13.6,12.0,Brian Kemp,Republican ,
Hawaii,14.4,-36.0,David Ige,Democratic ,
Idaho,10.8,35.0,Brad Little,Republican ,
Illinois,16.7,-13.0,J.B. Pritzker,Democratic ,
Indiana,28.2,18.0,Eric Holcomb,Republican ,
Iowa,26.3,6.0,Kim Reynolds,Republican ,
Kansas,21.4,23.0,Laura Kelly,Democratic ,
Kentucky,27.1,23.0,Andy Beshear,Democratic ,
Louisiana,42.7,17.0,John Bel Edwards,Democratic ,
Maine,11.0,-5.0,Janet T. Mills,Democratic ,
Maryland,10.2,-23.0,Larry Hogan,Republican ,
Massachusetts,9.4,-29.0,Charles D. Baker,Republican ,
Michigan,16.4,-1.0,Gretchen Whitmer,Democratic ,
Minnesota,17.0,-2.0,Tim Walz,Democratic ,
Mississippi,21.2,15.0,Tate Reeves,Republican ,
Missouri,20.4,19.0,Mike Parson,Republican ,
Montana,29.0,18.0,Greg Gianforte,Republican ,
Nebraska,27.2,24.0,Pete Ricketts,Republican ,
Nevada,13.5,1.0,Steve Sisolak,Democratic ,
New Hampshire,10.5,2.0,Chris Sununu,Republican ,
New Jersey,11.9,-13.0,Phil Murphy,Democratic ,
New Mexico,21.7,-7.0,Michelle Lujan Grisham,Democratic ,
New York,9.0,-22.0,Kathy Hochul,Democratic ,
North Carolina,12.0,5.0,Roy Cooper,Democratic ,
North Dakota,77.7,33.0,Doug Burgum,Republican ,
Ohio,17.9,7.0,Richard Michael DeWine,Republican ,
Oklahoma,24.8,34.0,Kevin Stitt,Republican ,
Oregon,9.5,-9.0,Kate Brown,Democratic ,
Pennsylvania,17.2,1.0,Tom Wolf,Democratic ,
Rhode Island,10.5,-26.0,Daniel McKee,Democratic ,
South Carolina,14.4,17.0,Henry McMaster,Republican ,
South Dakota,17.7,31.0,Kristi L. Noem,Republican ,
Tennessee,14.0,28.0,Bill Lee,Republican ,
Texas,23.9,17.0,Greg Abbott,Republican ,
Utah,19.4,31.0,Spencer Cox,Republican ,
Vermont,9.4,-24.0,Phil Scott,Republican ,
Virginia,12.7,0.0,Ralph Northam,Democratic ,
Washington,10.2,-12.0,Jay Inslee,Democratic ,
West Virginia,49.8,30.0,Jim Justice,Republican ,
Wisconsin,17.6,1.0,Tony Evers,Democratic ,
Wyoming,109.9,47.0,Mark Gordon,Republican ,
